# Thu Feb  1 22:20:53 2024

# input dimensionality
5

# covariance function
CovSum(CovSEard, CovNoise)

# log-hyperparameter
8.593285806 8.49076127 0.459242575 8.593285806 8.49076127 3.250971483 -12.64472638 

# mean for input values
261676.8333 261668.5 261660.1667 261651.8333 261643.5 
# std_dev for input values
418.574333 418.5676966 418.574333 418.574333 418.5676966 

# mean and std_dev for target values
2.976431239 0.1733064148

# data (target value in first column)
0.2935574658 -0.1286111667 -0.1302059391 -0.1294075207 -0.1286111667 -0.1302059391 
0.3654041878 -0.1094986714 -0.1087040409 -0.1102950254 -0.1094986714 -0.1087040409 
0.4455306449 -0.09038617601 -0.08959124247 -0.08879346806 -0.09038617601 -0.08959124247 
0.5159293331 -0.06888461872 -0.07047844408 -0.0696809727 -0.06888461872 -0.07047844408 
0.5853703574 -0.04977212335 -0.04897654588 -0.05056847733 -0.04977212335 -0.04897654588 
0.6621246377 -0.03065962799 -0.02986374749 -0.02906692004 -0.03065962799 -0.02986374749 
0.7289477049 -0.009158070697 -0.0107509491 -0.009954424671 -0.009158070697 -0.0107509491 
0.7942690162 0.009954424671 0.0107509491 0.009158070697 0.009954424671 0.0107509491 
0.8657639884 0.02906692004 0.02986374749 0.03065962799 0.02906692004 0.02986374749 
0.9273622575 0.05056847733 0.04897654588 0.04977212335 0.05056847733 0.04897654588 
0.9869609439 0.0696809727 0.07047844408 0.06888461872 0.0696809727 0.07047844408 
1.051433664 0.08879346806 0.08959124247 0.09038617601 0.08879346806 0.08959124247 
1.106291775 0.1102950254 0.1087040409 0.1094986714 0.1102950254 0.1087040409 
1.158699749 0.1294075207 0.1302059391 0.1286111667 0.1294075207 0.1302059391 
1.214562568 0.1485200161 0.1493187375 0.150112724 0.1485200161 0.1493187375 
1.261330261 0.1700215734 0.1684315358 0.1692252194 0.1700215734 0.1684315358 
1.305254309 0.1891340687 0.189933434 0.1883377148 0.1891340687 0.189933434 
1.351133437 0.2082465641 0.2090462324 0.2098392721 0.2082465641 0.2090462324 
1.388658397 0.2297481214 0.2281590308 0.2289517674 0.2297481214 0.2281590308 
1.42304981 0.2488606168 0.249660929 0.2480642628 0.2488606168 0.249660929 
1.457783787 0.2679731121 0.2687737274 0.2695658201 0.2679731121 0.2687737274 
1.485142068 0.2894746694 0.2878865258 0.2886783155 0.2894746694 0.2878865258 
1.509092052 0.3085871648 0.309388424 0.3077908108 0.3085871648 0.309388424 
1.531887298 0.3276996602 0.3285012224 0.3292923681 0.3276996602 0.3285012224 
1.548405122 0.3492012174 0.3476140208 0.3484048635 0.3492012174 0.3476140208 
1.561355312 0.3683137128 0.369115919 0.3675173588 0.3683137128 0.369115919 
1.571619148 0.3874262082 0.3882287174 0.3890189161 0.3874262082 0.3882287174 
1.576890185 0.4089277655 0.4073415158 0.4081314115 0.4089277655 0.4073415158 
1.578521464 0.4280402608 0.428843414 0.4272439069 0.4280402608 0.428843414 
1.576001107 0.4471527562 0.4479562124 0.4487454642 0.4471527562 0.4479562124 
1.569895623 0.4686543135 0.4670690108 0.4678579595 0.4686543135 0.4670690108 
1.56016751 0.4877668089 0.4885709089 0.4869704549 0.4877668089 0.4885709089 
1.544925469 0.5068793042 0.5076837073 0.5084720122 0.5068793042 0.5076837073 
1.527593569 0.5283808615 0.5267965057 0.5275845075 0.5283808615 0.5267965057 
1.506746375 0.5474933569 0.5482984039 0.5466970029 0.5474933569 0.5482984039 
1.479157085 0.5666058523 0.5674112023 0.5681985602 0.5666058523 0.5674112023 
1.451025514 0.5881074095 0.5865240007 0.5873110556 0.5881074095 0.5865240007 
1.419571654 0.6072199049 0.6080258989 0.6064235509 0.6072199049 0.6080258989 
1.380315788 0.6263324003 0.6271386973 0.6279251082 0.6263324003 0.6271386973 
1.342077682 0.6478339576 0.6462514957 0.6470376036 0.6478339576 0.6462514957 
1.300792566 0.6669464529 0.6677533939 0.666150099 0.6669464529 0.6677533939 
1.250834961 0.6860589483 0.6868661923 0.6876516563 0.6860589483 0.6868661923 
1.20343173 0.7075605056 0.7059789907 0.7067641516 0.7075605056 0.7059789907 
1.153331655 0.726673001 0.7274808889 0.725876647 0.726673001 0.7274808889 
1.0939035 0.7457854963 0.7465936873 0.7473782043 0.7457854963 0.7465936873 
1.038501769 0.7672870536 0.7657064857 0.7664906996 0.7672870536 0.7657064857 
0.9808202304 0.786399549 0.7872083838 0.785603195 0.786399549 0.7872083838 
